CountyName,Population,CO2,Methane
Juneau,31685.0,53675.7,12616.75
Kenai Peninsula Borough,60690.0,575089.1,63533.0
Ketchikan Gateway Borough,13741.0,0.0,0.0
Kodiak Island Borough,12720.0,0.0,0.0
Kusilvak Census Area,8278.0,0.0,0.0
Lake and Peninsula Borough,1381.0,7721.6,3.75
Matanuska-Susitna Borough,113325.0,0.0,32036.75
Nome Census Area,9835.0,0.0,0.0
North Slope Borough,10805.0,12166297.3,340891.75
Northwest Arctic Borough,7423.0,147583.9,152.25
Petersburg Borough,0.0,0.0,0.0
Sitka,8382.0,0.0,0.0
Prince of Wales-Hyder Census Area,5650.0,0.0,0.0
Skagway,1081.0,0.0,0.0
Southeast Fairbanks Census Area,7021.0,0.0,0.0
Valdez-Cordova Census Area,0.0,129923.4,1183.5
Wrangell,2070.0,0.0,0.0
Yakutat,700.0,0.0,0.0
Yukon-Koyukuk Census Area,5179.0,0.0,0.0
Apache County,65432.0,12421886.4,57583.25
Cochise County,125663.0,1800036.7,7562.0
Coconino County,144060.0,244752.7,154006.0
Gila County,53922.0,490.3,0.25
Graham County,7980.0,0.0,0.0
Greenlee County,9302.0,30689.3,14.5
La Paz County,16506.0,60562.9,48883.75
Maricopa County,4551524.0,15015300.3,500011.5
Mohave County,220816.0,2672976.1,89415.75
Navajo County,108650.0,2282167.4,106481.0
Pima County,1057597.0,1299351.6,139152.0
Pinal County,464154.0,249209.9,47082.0
Santa Cruz County,264370.0,28822.9,25786.5
Yavapai County,246191.0,2045456.9,75322.0
Yuma County,9899.0,50124.9,23.5
Arkansas County,16512.0,39616.7,190.0
Baxter County,42435.0,0.0,0.0
Ashley County,18354.0,184231.0,184738.0
Boone County,20968.0,0.0,90126.5
Benton County,212791.0,71937.1,84173.25
Bradley County,110616.0,83688.0,64610.75
Carroll County,29147.0,6.4,38858.25
Chicot County,9873.0,0.0,0.0
Clark County,34691.0,32207.1,426.0
Columbia County,58193.0,6649222.5,1796.0
Cleveland County,299587.0,49637.2,23.5
Conway County,21046.0,85363.8,126858.5
Craighead County,113017.0,68704.6,29.75
Crittenden County,8981.0,0.0,0.0
Crawford County,16007.0,0.0,0.0
Cross County,16601.0,0.0,0.0
Desha County,10771.0,173289.6,46939.0
Faulkner County,127665.0,0.0,96772.75
Drew County,16911.0,0.0,0.0
Fulton County,14533.0,0.0,0.0
Grant County,51276.0,2438552.2,642.5
Garland County,100089.0,0.0,0.0
Hot Spring County,33203.0,1603720.8,2209.25
Hempstead County,19453.0,3162777.3,8940.75
Howard County,33672.0,1245421.9,16855.5
Independence County,37945.0,5049674.8,13427.75
Izard County,14048.0,0.0,0.0
Johnson County,8730.0,0.0,0.0
Lafayette County,16877.0,0.0,0.0
Lincoln County,20660.0,6337943.8,43326.75
Little River County,11821.0,1311758.7,29041.75
Logan County,31316.0,0.0,507698.0
Lonoke County,75225.0,0.0,0.0
Miller County,25403.0,0.0,0.0
Mississippi County,11688.0,0.0,0.0
Ouachita County,22049.0,18463.5,9.75
Nevada County,102293.0,0.0,0.0
Newton County,12052.0,2192640.3,141472.0
Phillips County,4240.0,0.0,0.0
Poinsett County,22495.0,0.0,0.0
Polk County,45709.0,0.0,0.0
Pope County,11431.0,0.0,0.0
Prairie County,1107.0,0.0,0.0
Pulaski County,33706.0,27217.4,38719.25
St. Francis County,22451.0,0.0,0.0
Saline County,14116.0,32419.7,47497.5
Scott County,21476.0,0.0,0.0
Searcy County,7918.0,0.0,0.0
Sebastian County,129059.0,94606.9,80448.0
Sevier County,22069.0,0.0,0.0
Sharp County,17810.0,0.0,123024.5
Stone County,32136.0,0.0,0.0
Union County,20452.0,206352.7,254.0
Van Buren County,6429.0,0.0,0.0
Woodruff County,6049.0,0.0,0.0
White County,28064.0,0.0,0.0
Yell County,20129.0,4036.0,54069.75
Alameda County,1628997.0,438532.8,190809.5
Alpine County,1190.0,0.0,0.0
Amador County,41412.0,0.0,0.0
Butte County,10774.0,76639.3,108.5
Calaveras County,46563.0,0.0,0.0
Colusa County,21914.0,1025533.6,3016.25
Contra Costa County,1156966.0,18392758.9,301556.0
Del Norte County,27082.0,0.0,0.0
El Dorado County,192646.0,0.0,0.0
Fresno County,1015190.0,890361.1,130005.75
Glenn County,28339.0,0.0,0.0
Humboldt County,17272.0,1625229.6,4697.25
Imperial County,178713.0,653774.0,26639.75
Inyo County,18718.0,0.0,40426.75
Kern County,916108.0,15841383.9,411220.5
Kings County,152981.0,145905.6,54502.5
Lake County,6507.0,0.0,0.0
Lassen County,29904.0,0.0,173.5
Los Angeles County,9721138.0,23688446.2,2819898.75
Madera County,160256.0,163137.2,70917.75
Marin County,256018.0,102.3,86225.75
Mariposa County,17020.0,0.0,0.0
Mendocino County,89783.0,0.0,0.0
Modoc County,8511.0,35112.9,1221.0
Merced County,290014.0,421198.1,20769.5
Mono County,12978.0,0.0,0.0
Monterey County,432858.0,2487492.1,351832.25
Napa County,134300.0,0.0,98249.5
Orange County,37991.0,80341.9,34290.25
Plumas County,19351.0,0.0,0.0
Placer County,417772.0,236453.0,38309.5
Riverside County,2473902.0,1299567.9,344803.0
Sacramento County,1584169.0,2341825.6,155383.75
San Benito County,67579.0,0.0,0.0
San Bernardino County,2193656.0,9393141.0,333739.25
San Diego County,3276208.0,2048481.0,467303.75
San Francisco County,808437.0,53846.5,279282.25
San Joaquin County,793229.0,1140350.7,93426.5
San Mateo County,729181.0,80910.4,148957.75
San Luis Obispo County,282013.0,217130.5,34269.0
Santa Barbara County,443837.0,153991.0,57329.75
Santa Clara County,1870945.0,1615007.9,355515.25
Shasta County,180930.0,593784.0,106355.75
Sierra County,11436.0,0.0,0.0
Siskiyou County,43660.0,0.0,0.0
Solano County,448747.0,2784893.8,145029.0
Sonoma County,482650.0,0.0,53490.5
Stanislaus County,551275.0,1461182.8,49028.25
Sutter County,98503.0,923907.3,424.0
Tehama County,65245.0,51668.9,31183.25
Trinity County,13996.0,0.0,0.0
Tulare County,477544.0,281257.0,33027.25
Tuolumne County,54531.0,0.0,0.0
Ventura County,832605.0,819819.3,284565.0
Yolo County,222115.0,87687.9,19375.0
Yuba County,84310.0,0.0,88636.0
Adams County,21226.0,0.0,0.0
Arapahoe County,655808.0,853597.78,129754.98
Alamosa County,16592.0,0.0,0.0
Archuleta County,14003.0,0.0,0.0
Bent County,5399.0,0.0,0.0
Baca County,3432.0,0.0,0.0
Boulder County,327468.0,418626.4,53175.25
Broomfield,76121.0,0.0,0.0
Chaffee County,20223.0,0.0,0.0
Cheyenne County,9511.0,0.0,0.0
Clear Creek County,9355.0,0.0,0.0
Conejos County,7579.0,0.0,0.0
Costilla County,3603.0,0.0,0.0
Crowley County,5614.0,0.0,0.0
Custer County,9006.0,0.0,0.0
Delta County,5406.0,0.0,0.0
Dolores County,2455.0,0.0,0.0
Douglas County,44144.0,486125.6,67451.5
Denver,713252.0,16911697.8,4845429.5
Elbert County,19814.0,0.0,0.0
Eagle County,55285.0,65651.1,57602.25
El Paso County,868763.0,2801669.5,501002.75
Fremont County,39472.0,831146.6,14788.5
Garfield County,2363.0,0.0,0.0
Gilpin County,5891.0,0.0,0.0
Grand County,9769.0,0.0,0.0
Gunnison County,17267.0,10394.3,244019.25
Hinsdale County,775.0,0.0,0.0
Huerfano County,7082.0,0.0,0.0
Kiowa County,8345.0,0.0,0.0
Kit Carson County,6961.0,0.0,0.0
La Plata County,56607.0,1259991.4,224109.5
Las Animas County,14327.0,212480.0,223788.0
Larimer County,366778.0,1783165.0,200563.0
Mesa County,158636.0,13725.4,99847.25
Mineral County,26855.0,22605.6,10.25
Moffat County,13177.0,2120.9,776.0
Montezuma County,26468.0,950.3,1.25
Montrose County,43811.0,94.2,46837.5
Otero County,68823.0,0.5,33065.5
Ouray County,5100.0,0.0,0.0
Park County,30518.0,235047.3,246.0
Pitkin County,16876.0,0.0,0.0
Prowers County,11854.0,0.0,0.0
Pueblo County,169544.0,9508344.6,63277.0
Rio Blanco County,6569.0,899339.4,21119.25
Rio Grande County,11325.0,0.0,0.0
Routt County,25007.0,2642110.4,107882.25
Saguache County,6623.0,0.0,0.0
San Juan County,18662.0,0.0,0.0
San Miguel County,26953.0,0.0,0.0
Sedgwick County,525525.0,452675.9,196623.0
Summit County,43036.0,37712.4,110.5
Teller County,24857.0,0.0,0.0
Weld County,350176.0,4202968.2,266009.75
Fairfield County,20455.0,0.0,0.0
Hartford County,0.0,585572.5,185443.0
Litchfield County,0.0,149416.9,70.25
Middlesex County,10943.0,0.0,0.0
New Haven County,0.0,3481898.7,103826.52
New London County,0.0,409845.5,5602.75
Tolland County,0.0,96004.5,45.75
Capitol Planning Region,981447.0,0.0,0.0
Windham County,45842.0,0.0,0.0
Lower Connecticut River Valley Planning Region,176622.0,0.0,0.0
Greater Bridgeport Planning Region,327286.0,0.0,0.0
Naugatuck Valley Planning Region,454083.0,0.0,0.0
Northeastern Connecticut Planning Region,96196.0,0.0,0.0
Northwest Hills Planning Region,113234.0,0.0,0.0
South Central Connecticut Planning Region,573244.0,0.0,0.0
Southeastern Connecticut Planning Region,280403.0,0.0,0.0
Western Connecticut Planning Region,623690.0,0.0,0.0
New Castle County,575494.0,4256699.6,261465.25
Kent County,740.0,94384.5,922.25
Sussex County,10680.0,1242.6,136985.0
District of Columbia,671803.0,88594.0,41.5
Alachua County,284030.0,1998454.2,3912.5
Baker County,16938.0,689413.6,474.75
Bay County,102821.0,3578988.9,23544.0
Bradford County,59866.0,2695991.8,79264.0
Brevard County,630693.0,2263327.8,576714.75
Broward County,1947026.0,2899042.1,282956.75
Citrus County,162529.0,9160545.4,34975.75
Charlotte County,11475.0,0.0,0.0
Collier County,397994.0,11.2,28671.5
Dixie County,17124.0,0.0,0.0
Duval County,9888.0,186579.3,24222.25
DeSoto County,191723.0,1744678.1,18710.45
Flagler County,126705.0,0.0,0.0
Gadsden County,43403.0,80927.7,14488.0
Gilchrist County,18992.0,23714.6,9067.5
Glades County,12454.0,0.0,0.0
Gulf County,15314.0,0.0,0.0
Hamilton County,8298.0,0.0,0.0
Hardee County,25645.0,2656411.0,1240.5
Hendry County,41339.0,11480.9,107291.25
Hernando County,206896.0,782311.2,140277.5
Highlands County,105618.0,0.0,0.0
Hillsborough County,426594.0,15738.0,78191.75
Holmes County,44390.0,0.0,0.0
Indian River County,167352.0,0.0,15782.0
Leon County,16209.0,218041.3,137.25
Levy County,45260.0,0.0,0.0
Liberty County,101992.0,0.0,80042.25
Manatee County,429125.0,3811541.7,57508.75
Martin County,5217.0,180675.73,8786.18
Miami-Dade County,2673837.0,4183174.1,333870.0
Nassau County,1383726.0,1935295.3,254318.75
Okaloosa County,216482.0,29.5,24439.0
Okeechobee County,40412.0,2982871.3,1384.25
Osceola County,23274.0,60740.3,28.5
Palm Beach County,1518477.0,9596675.7,604980.25
Pasco County,608794.0,1558748.4,14975.5
Pinellas County,961739.0,2270252.9,284630.0
Putnam County,57015.0,11436736.2,141983.75
St. Johns County,306841.0,23981.3,11.25
St. Lucie County,358704.0,758038.2,57559.25
Santa Rosa County,198268.0,677228.6,227217.58
Sarasota County,462286.0,0.0,152117.0
Seminole County,23351.0,852873.9,399.75
Suwannee County,45411.0,612678.9,1586.5
Taylor County,19975.0,0.0,0.0
Volusia County,579192.0,3506815.0,338246.5
Wakulla County,35178.0,478138.9,221.75
Walton County,103065.0,279526.0,129.75
Appling County,18428.0,0.0,0.0
Atkinson County,8183.0,0.0,48572.75
Bacon County,11191.0,0.0,0.0
Banks County,19328.0,96.9,67877.0
Barrow County,89299.0,0.0,47840.5
Bartow County,112816.0,9531345.3,27831.0
Berrien County,152900.0,23032.5,167729.5
Ben Hill County,17069.0,0.0,0.0
Bleckley County,12257.0,0.0,0.0
Brantley County,18183.0,0.0,0.0
Brooks County,6906.0,20862.8,1041.75
Bryan County,48182.0,206059.3,6574.75
Bulloch County,83059.0,0.0,0.0
Burke County,2155.0,72625.3,13927.25
Butts County,26649.0,0.0,0.0
Camden County,11088.0,0.0,0.0
Candler County,11000.0,0.0,0.0
Catoosa County,68826.0,0.0,0.0
Charlton County,12781.0,40.5,50988.5
Chatham County,79864.0,108183.3,185.25
Chattahoochee County,8819.0,19989.2,40599.75
Chattooga County,24936.0,54479.2,41.25
Clayton County,17027.0,0.0,0.0
Clinch County,6662.0,0.0,0.0
Cobb County,771952.0,6690275.4,3106.0
Colquitt County,45762.0,0.0,0.0
Cook County,5708.0,11.3,0.0
Coweta County,152882.0,22445.9,10.5
Crisp County,19708.0,0.0,51708.0
Dade County,7660.0,0.0,0.0
Dawson County,12130.0,18476.1,5128.25
Decatur County,11564.0,0.0,83593.25
Dodge County,88282.0,60650.5,49787.75
Dooly County,10572.0,0.0,0.0
Dougherty County,82966.0,240352.8,102537.75
Early County,10574.0,0.0,0.0
Echols County,3686.0,0.0,0.0
Effingham County,34325.0,0.0,83046.75
Emanuel County,22929.0,0.0,0.0
Evans County,10695.0,0.0,0.0
Fannin County,37125.0,1.6,602.75
Floyd County,15619.0,0.0,0.0
Forsyth County,389157.0,69062.6,412.75
Glascock County,2939.0,0.0,0.0
Gilmer County,7325.0,58729.1,5991.25
Glynn County,85079.0,352944.7,78433.0
Grady County,56658.0,336641.9,105696.0
Gordon County,58954.0,0.0,203309.0
Gwinnett County,975353.0,0.0,108710.5
Habersham County,47475.0,0.0,32734.0
Hall County,2810.0,0.0,0.0
Hancock County,28172.0,351387.1,657.5
Haralson County,31337.0,0.0,0.0
Heard County,11725.0,6819156.2,6174.5
Harris County,4780913.0,78549799.47,13057659.12
Hart County,19600.0,26575.2,12.5
Irwin County,9126.0,0.0,0.0
Jasper County,32484.0,512917.5,115950.0
Jeff Davis County,1903.0,0.0,0.0
Jenkins County,8689.0,11762.9,5.5
Jones County,19935.0,0.0,33240.5
Lanier County,10171.0,0.0,0.0
Laurens County,67965.0,0.0,0.0
Long County,18348.0,0.0,0.0
Lumpkin County,34796.0,0.0,0.0
McDuffie County,21713.0,0.0,0.0
McIntosh County,19451.0,0.0,0.0
Meriwether County,20845.0,0.0,79619.25
Mitchell County,8943.0,52617.7,37.5
Murray County,13672.0,0.0,0.0
Muscogee County,202616.0,0.0,130707.5
Oconee County,80180.0,0.0,53438.0
Oglethorpe County,15469.0,0.0,0.0
Paulding County,18757.0,370993.3,160.75
Peach County,28562.0,0.0,0.0
Pierce County,42532.0,0.0,0.0
Quitman County,5701.0,0.0,0.0
Rabun County,17206.0,0.0,0.0
Richmond County,9080.0,0.0,0.0
Schley County,4496.0,0.0,0.0
Rockdale County,94984.0,77350.0,287.75
Screven County,13977.0,37956.3,17.75
Spalding County,68919.0,0.0,108185.25
Stephens County,9390.0,0.0,0.0
Stewart County,14035.0,10722836.3,31438.78
Talbot County,37932.0,0.0,33018.5
Taliaferro County,1600.0,0.0,0.0
Tattnall County,24064.0,0.0,0.0
Telfair County,12354.0,0.0,0.0
Terrell County,693.0,47959.3,37113.25
Thomas County,671.0,0.0,0.0
Tift County,41412.0,0.0,58890.75
Toombs County,26837.0,0.0,0.0
Towns County,12972.0,0.0,0.0
Treutlen County,6365.0,0.0,0.0
Troup County,70191.0,21105.8,10370.25
Turner County,8856.0,261512.0,496.0
Twiggs County,7680.0,25742.4,42240.5
Upson County,28086.0,178199.6,4448.25
Ware County,35614.0,0.0,0.0
Warren County,41440.0,2664166.2,1235.5
Webster County,8167.0,0.0,0.0
Wayne County,37998.0,512055.1,6661.75
Wheeler County,4807.0,138877.3,26938.25
Whitfield County,103132.0,109155.5,149154.5
Wilkes County,65784.0,25314.2,61117.25
Wilkinson County,8143.0,0.0,0.0
Worth County,1955.0,0.0,0.0
Hawaii County,206315.0,546216.4,92538.0
Honolulu County,995638.0,5401080.0,91139.25
Kalawao County,82.0,0.0,0.0
Kauai County,73810.0,118750.3,24544.5
Maui County,164351.0,607951.8,614.25
Ada County,518907.0,25255.5,139440.75
Bannock County,89517.0,127101.9,27345.0
Bear Lake County,6722.0,0.0,0.0
Benewah County,10370.0,0.0,0.0
Bingham County,49923.0,89942.6,42.5
Blaine County,8409.0,0.0,0.0
Boise County,8333.0,0.0,0.0
Bonner County,51414.0,185932.9,4098.25
Bonneville County,129496.0,43832.1,20.75
Boundary County,13345.0,0.0,0.0
Camas County,1153.0,0.0,0.0
Canyon County,251065.0,212029.4,261985.0
Caribou County,7190.0,608137.0,228.75
Cassia County,25655.0,86582.3,30388.5
Clearwater County,8649.0,42036.9,1048.0
Gem County,20418.0,0.0,0.0
Gooding County,15715.0,0.0,0.0
Idaho County,17593.0,0.0,0.0
Jerome County,25311.0,60880.8,36.0
Kootenai County,183578.0,860993.3,41706.75
Latah County,40978.0,0.0,0.0
Lemhi County,8240.0,0.0,0.0
Lewis County,16767.0,21853.1,4645.5
Nez Perce County,43004.0,279831.7,21870.5
Minidoka County,22194.0,274265.9,10204.0
Oneida County,38212.0,195061.2,391.75
Owyhee County,12613.0,0.0,0.0
Payette County,26956.0,721438.0,334.5
Power County,8068.0,52861.4,15779.5
Shoshone County,14012.0,0.0,0.0
Teton County,23287.0,0.0,0.0
Twin Falls County,93696.0,333427.4,4645.0
Valley County,4073.0,82995.1,39.0
Alexander County,36512.0,0.0,0.0
Bond County,16566.0,0.0,0.0
Brown County,270036.0,1090711.1,196325.0
Bureau County,32828.0,0.0,0.0
Cass County,28539.0,380520.3,17539.75
Champaign County,38709.0,0.0,0.0
Christian County,93114.0,0.0,0.0
Clinton County,37931.0,350260.5,102395.0
Coles County,46334.0,0.0,1237.75
Cumberland County,9746.0,0.0,0.0
De Witt County,15310.0,35.5,87849.25
DuPage County,920901.0,548059.3,162949.9
Edgar County,16433.0,0.0,0.0
Edwards County,1422.0,0.0,0.0
Ford County,33848.0,707571.9,20132.25
Gallatin County,124857.0,304724.0,47339.0
Grundy County,13783.0,0.0,0.0
Hardin County,57811.0,102831.6,32742.25
Henderson County,84511.0,133930.9,12247.25
Iroquois County,26473.0,59589.4,28.0
Jersey County,21246.0,0.0,0.0
Jo Daviess County,21758.0,713798.1,130.75
Kane County,8227.0,0.0,0.0
Kendall County,48973.0,57539.5,4415.5
Kankakee County,106074.0,219114.9,14401.75
Knox County,3273.0,0.0,0.0
LaSalle County,108078.0,1147762.3,24677.0
Livingston County,61516.0,0.0,0.0
McDonough County,26861.0,24332.2,5649.75
McHenry County,5189.0,137278.2,114.5
McLean County,9824.0,9379767.5,26135.0
Macoupin County,44245.0,0.0,0.0
Mason County,25000.0,6827942.5,21703.5
Massac County,13896.0,5398234.4,15390.25
Menard County,1968.0,0.0,0.0
Mercer County,58700.0,0.0,95473.5
Moultrie County,14323.0,0.0,0.0
Ogle County,51351.0,189433.7,214997.75
Peoria County,178383.0,3254350.2,262345.75
Piatt County,16723.0,46395.2,12707.25
Richland County,17090.0,0.0,0.0
Rock Island County,141527.0,888754.9,160307.25
Sangamon County,194534.0,1296257.9,29292.75
Schuyler County,17650.0,122109.5,57.5
Stark County,372657.0,1309736.4,253718.0
Stephenson County,43627.0,122614.9,57.75
Tazewell County,39821.0,0.0,60932.25
Vermilion County,72337.0,161698.5,75291.0
Wabash County,30828.0,254931.0,79033.0
Whiteside County,54658.0,147219.8,112651.25
Will County,696757.0,7311827.7,170439.73
Williamson County,671418.0,25664.5,115473.75
Winnebago County,170718.0,523035.3,23801.75
Woodford County,27062.0,0.0,0.0
Allen County,101115.0,3183213.2,9911.75
Bartholomew County,83540.0,23372.0,93434.5
Blackford County,11919.0,0.0,0.0
Daviess County,8435.0,0.0,0.0
Dearborn County,51138.0,3292705.9,1521.5
Delaware County,575182.0,5778340.6,12424.5
Dubois County,43632.0,46076.9,28696.25
Elkhart County,206890.0,335.0,57445.25
Fountain County,16574.0,0.0,0.0
Gibson County,50837.0,2749.8,13849.25
Harrison County,64915.0,10976742.6,234939.25
Hendricks County,182534.0,193232.3,89859.75
Huntington County,36834.0,19374.5,46.25
Jay County,20198.0,242249.2,30681.75
Jennings County,27536.0,0.0,0.0
Kosciusko County,80826.0,94177.0,35610.5
LaGrange County,40866.0,0.0,0.0
LaPorte County,111675.0,1490980.4,9730.5
Noble County,10896.0,3183088.5,9151.0
Miami County,0.0,0.0,0.0
Ohio County,41447.0,0.0,685946.0
Owen County,11290.0,0.0,0.0
Parke County,16369.0,0.0,0.0
Porter County,174791.0,8108016.4,965.0
Posey County,25063.0,4152501.5,10246.0
Ripley County,10703.0,0.0,0.0
Rush County,2927.0,0.0,0.0
St. Joseph County,60874.0,17889.2,57131.75
Spencer County,20204.0,0.0,0.0
Starke County,23258.0,0.0,0.0
Steuben County,92599.0,140351.6,14686.25
Sullivan County,160820.0,161.5,64895.25
Switzerland County,10006.0,0.0,0.0
Tipton County,61656.0,2333.2,8404.0
Tippecanoe County,188717.0,928591.7,712.0
Vanderburgh County,179744.0,166.4,153477.75
Vermillion County,15451.0,244239.5,22072.25
Vigo County,106006.0,1181901.5,185169.25
Warrick County,65185.0,2418187.4,7147.5
Wells County,3930.0,0.0,0.0
Whitley County,36873.0,0.0,0.0
Adair County,19576.0,0.0,0.0
Allamakee County,13960.0,696637.2,186.5
Appanoose County,12094.0,0.0,0.0
Audubon County,5598.0,73848.1,40.25
Black Hawk County,130274.0,135440.4,172986.0
Bremer County,25259.0,0.0,0.0
Buchanan County,19352.0,654502.8,1336095.57
Buena Vista County,20600.0,188521.4,88.75
Cedar County,8371.0,0.0,0.0
Cerro Gordo County,42409.0,1503229.9,74207.5
Chickasaw County,16812.0,0.0,35191.25
Davis County,369948.0,983111.6,106670.5
Des Moines County,38293.0,1402256.5,61539.75
Dickinson County,25874.0,85814.1,49817.0
Dubuque County,98677.0,36.8,13672.0
Emmet County,34163.0,0.0,0.0
Guthrie County,10647.0,251947.3,118.75
Ida County,6888.0,216557.8,102.0
Iowa County,23865.0,0.0,0.0
Keokuk County,9904.0,27253.6,9063.25
Kossuth County,14475.0,81479.0,38.5
Linn County,130467.0,82612.7,293.25
Lucas County,426643.0,7176610.4,25758.5
Louisa County,40116.0,743999.2,353.75
Lyon County,61585.0,700802.0,349.0
Mahaska County,21946.0,385669.4,181.75
Mills County,4500.0,0.0,0.0
Monona County,8486.0,0.0,0.0
Muscatine County,42377.0,2289333.8,48201.0
O'Brien County,14060.0,215398.9,101.5
Page County,23750.0,15.3,60784.75
Palo Alto County,8764.0,114297.2,53.75
Plymouth County,533069.0,437388.8,41546.25
Pocahontas County,7819.0,0.0,0.0
Pottawattamie County,93173.0,6566255.0,22142.25
Poweshiek County,18467.0,0.0,0.0
Sac County,9673.0,0.0,0.0
Ringgold County,4670.0,0.0,0.0
Sioux County,3711.0,0.0,0.0
Tama County,16903.0,20203.3,9.5
Story County,99673.0,537609.5,756.75
Wapello County,35043.0,4489015.2,41764.25
Woodbury County,105671.0,5562296.9,9716.25
Winneshiek County,19974.0,0.0,36080.5
Wright County,19156.0,0.0,130676.75
Barber County,4122.0,50989.6,24.0
Anderson County,58064.0,89253.3,22432.0
Atchison County,5182.0,0.0,0.0
Barton County,11694.0,48.8,53537.0
Bourbon County,20093.0,0.0,0.0
Chautauqua County,126027.0,0.1,85645.75
Chase County,3772.0,0.0,0.0
Cloud County,8946.0,23332.5,5986.75
Coffey County,8280.0,0.0,0.0
Comanche County,13878.0,0.0,0.0
Cowley County,34453.0,0.0,0.0
Doniphan County,7440.0,0.0,0.0
Elk County,30477.0,197646.8,38407.0
Ellis County,212182.0,5646796.5,176241.75
Ellsworth County,6355.0,2239.2,856.25
Finney County,37650.0,1735401.1,40403.25
Geary County,35691.0,0.0,0.0
Gove County,2717.0,39154.6,18.5
Gray County,21015.0,71051.8,33607.5
Greenwood County,69267.0,70697.7,38.0
Greeley County,2227.0,0.0,0.0
Harper County,3129.0,0.0,0.0
Harvey County,33801.0,0.0,0.0
Hodgeman County,1755.0,0.0,0.0
Haskell County,5403.0,0.0,0.0
Jewell County,2898.0,0.0,0.0
Kearny County,3855.0,0.0,0.0
Kingman County,7193.0,11026.5,20504.75
Labette County,19757.0,0.0,0.0
Lane County,382353.0,103335.2,25458.5
Leavenworth County,82892.0,0.0,0.0
McPherson County,2395.0,0.0,0.0
Meade County,30698.0,0.0,0.0
Morris County,12083.0,0.0,0.0
Morton County,33710.0,1560907.0,4868.5
Nemaha County,7035.0,0.0,0.0
Neosho County,15606.0,1457778.4,2778.75
Ness County,2645.0,0.0,0.0
Norton County,5301.0,0.0,0.0
Osborne County,3490.0,0.0,0.0
Osage County,45839.0,31.5,201293.25
